"","M","N","Phi","Tau","True-ES","mean-es","es-var","rel-var","rel-sd","relbias-es","phi","rho","dcoverage","tcoverage"
"533",4,40,0.1,0.4,0.5,0.520600842707988,0.0197946690539789,0.984705166175693,0.992323115812432,0.0412016854159767,0.141633693104543,0.0492446913014933,0.949,0.9462
"534",4,40,0.1,0.4,1,1.03934977998273,0.0383427007175236,0.993485104335888,0.996737229331727,0.0393497799827349,0.14137798537455,0.0481795777565532,0.8741,0.8687
"535",4,40,0.1,0.6,0,0.00144628827195164,0.00992175818200695,0.954757284721337,0.977116822453353,Inf,0.142901141788935,0.20156771089165,0.9797,0.9797
"536",4,40,0.1,0.6,0.5,0.540072222853781,0.0242761882572151,0.973129774906626,0.986473403040663,0.0801444457075626,0.142181958114747,0.201520474511647,0.9221,0.9114
"537",4,40,0.1,0.6,1,1.08260814412781,0.0674196407322791,1.00652877268018,1.00325907555336,0.0826081441278095,0.142288714792863,0.199580446071582,0.7873,0.7786
"538",4,40,0.1,0.8,0,-0.000657678998157726,0.00589655080558699,0.833493229233432,0.912958503565979,-Inf,0.142195699324006,0.475526242663845,0.9873,0.9874
"539",4,40,0.1,0.8,0.5,0.578970379140186,0.0390329409092363,0.899807317665888,0.948581740107772,0.157940758280373,0.139908555835261,0.471454027721279,0.9112,0.8749
"540",4,40,0.1,0.8,1,1.1564228737629,0.14180194048783,0.927142636356522,0.962882462378728,0.156422873762896,0.141753547091795,0.474701674250694,0.8422,0.8284
"541",4,40,0.3,0,0,0.000116462410134682,0.014256117936461,0.979484077580526,0.989688879184022,Inf,0.32586154715638,0,0.9408,0.9409
"542",4,40,0.3,0,0.5,0.503532155879207,0.0153463586347334,0.979006064355409,0.989447352998334,0.00706431175841327,0.326003090583914,0,0.9424,0.9417
"543",4,40,0.3,0,1,1.0063191742054,0.0189841375918879,0.977583712909142,0.988728331195754,0.00631917420540096,0.325850886723133,0,0.9469,0.9483
"544",4,40,0.3,0.2,0,0.000582170146831272,0.0119146214653502,0.979416241069555,0.989654606956162,Inf,0.326614596952498,0.00195366912400191,0.961,0.961
"545",4,40,0.3,0.2,0.5,0.506893092636809,0.0139804392211313,0.980163924440227,0.990032284544412,0.0137861852736172,0.32529434437774,0.00230401263321333,0.9552,0.9555
"546",4,40,0.3,0.2,1,1.01671201677516,0.0225136685443756,0.983346460659502,0.991638271074439,0.0167120167751571,0.326118545719105,0.00172295181058878,0.9252,0.9252
"547",4,40,0.3,0.4,0,0.000374193109549388,0.00907587498764154,0.977120274549142,0.98849394259608,Inf,0.325714676206488,0.0457159467523237,0.9758,0.9758
"548",4,40,0.3,0.4,0.5,0.521795774150112,0.0161421870322037,0.983870492571623,0.991902461218654,0.0435915483002236,0.325131748847969,0.046629434617101,0.934,0.929
